state,district,DEI,ASS,UBS,SRS
Jharkhand,bokaro,0.8548863794671113,0.5027876375891864,0.8514400079889592,0.5152821350005246
Jharkhand,chatra,0.7607941423539907,0.5745252351415631,0.9088910049117815,0.6986945623031009
Jharkhand,deoghar,0.5471777036798011,0.5141114816009944,0.817301512624327,0.75
Jharkhand,dhanbad,0.8664087890730053,0.36731382883367397,0.902054936192772,0.508792428063374
Jharkhand,dumka,0.6569810978539454,0.6136400887126927,0.9419725686283781,0.6293657099383068
Jharkhand,east singhbhum,0.8165762089645856,0.5180852843808635,1.0,0.5015737228922628
Jharkhand,east singhbum,0.7269335772615695,0.5034150801333763,0.0,0.25
Jharkhand,garhwa,0.8475342077228282,0.47356674195977194,0.8787042798035258,0.5423439450791889
Jharkhand,giridih,0.8608440441954768,0.25,0.8320345166322684,0.595305947903134
Jharkhand,godda,0.796584039196731,0.5695654512208239,0.8838518904218823,0.5040597685612218
Jharkhand,gumla,0.7598806130616853,0.5626038268019552,0.9241710188713637,0.6653917661577333
Jharkhand,hazaribag,0.806291227675415,0.7374511491162024,0.7173375826375088,0.5342761447391076
Jharkhand,hazaribagh,0.8064059976012491,0.5403804094510773,0.8647002388943205,0.5486016078994962
Jharkhand,jamtara,0.8568151452786112,0.5633806604280951,0.7761062001017329,0.43301153993386476
Jharkhand,khunti,0.7997885544988852,0.6838197506961624,0.9857352710105731,0.4997860856716462
Jharkhand,kodarma,0.7800540818261411,0.7489243842099602,0.7767269332064832,0.5401178373613073
Jharkhand,koderma,0.7957269578497317,0.6184163350184647,0.8563620754018091,0.5412825038582434
Jharkhand,latehar,0.8088937512480543,0.6458893549890645,0.7610955826142876,0.5814132404865613
Jharkhand,lohardaga,0.7772874266029803,0.6744081125333142,0.9922221690661794,0.5529459276086099
Jharkhand,pakaur,0.7629866090539643,0.749507009429565,0.6585782884117255,0.5650638043592036
Jharkhand,pakur,0.7879490172676563,0.5854948088733181,0.8912775334519849,0.5155016007936037
Jharkhand,palamau,0.7858088912646995,0.75,0.722573540299053,0.5568918697604677
Jharkhand,palamu,0.8551131576714122,0.3771198594528701,0.7789075620562107,0.5714280202725495
Jharkhand,pashchimi singhbhum,0.82851944078119,0.7359721774048976,0.7860012960041642,0.433007096097847
Jharkhand,purbi singhbhum,0.8051777939692725,0.7186278727905059,0.9077802243809603,0.5274468155920482
Jharkhand,ramgarh,0.8159548704016817,0.6293069448926176,0.7781033730747735,0.5305441121519485
Jharkhand,ranchi,0.8102279998074641,0.39749253471421914,0.988410313997765,0.5686218949573797
Jharkhand,sahebganj,0.880913002893054,0.4795274461295758,0.7386784179311245,0.43987283721072695
Jharkhand,sahibganj,0.7943826699495509,0.7464594313577857,0.7536559113370266,0.5088859865902011
Jharkhand,seraikela-kharsawan,0.8463709363474241,0.5723441253450934,0.870765193622106,0.49556247962883476
Jharkhand,simdega,0.8053996151595719,0.6696425370191101,0.8746519535641983,0.5523999468104408
Jharkhand,west singhbhum,0.8430651023911521,0.5172905238248897,0.9051217872756949,0.49780521515229814
