state,district,DEI,ASS,UBS,SRS
Himachal Pradesh,bilaspur,0.6965425895522708,0.6350574712643678,0.6350060046215943,0.36409661032776924
Himachal Pradesh,chamba,0.6285843398121667,0.5374647581869443,0.3068547758460437,0.6416393724526015
Himachal Pradesh,hamirpur,0.8204373887991606,0.6084905660377359,0.6822202962288728,0.31567015804641296
Himachal Pradesh,kangra,0.8364956672205978,0.25,0.5868687856864057,0.40229380060000547
Himachal Pradesh,kinnaur,0.6350549447426526,0.7390479288657559,0.6381582117918478,0.75
Himachal Pradesh,kullu,0.3980272440318765,0.6191792917557394,0.47760105088281185,0.5778109673421279
Himachal Pradesh,lahaul and spiti,0.7134221626631694,0.75,0.75,0.6828891866841528
Himachal Pradesh,mandi,0.7476019379885347,0.43911299067447407,0.7005089147682941,0.391187858317215
Himachal Pradesh,shimla,0.7191712699884306,0.5385491216655823,0.5285043616990448,0.47526984536478994
Himachal Pradesh,sirmaur,0.7318273971393066,0.5452721752331382,0.25,0.27487227697086736
Himachal Pradesh,solan,0.8483983687320752,0.6042615484710475,0.6809851903909692,0.25
Himachal Pradesh,una,0.8378063642075613,0.6003578399479506,0.6084372686593469,0.3535446927195922
