state,district,DEI,ASS,UBS,SRS
Rajasthan,ajmer,0.7469498715151164,0.5292769961356338,0.5836264312710417,0.47066995212902163
Rajasthan,alwar,0.7636836921343918,0.3837152343112175,0.6263398621739544,0.47785691588429147
Rajasthan,balotra,0.6935254662051866,0.75,0.49128919860627174,0.7408728687916976
Rajasthan,banswara,0.6820262377925665,0.5734297610624286,0.5554877846378543,0.5283493328194274
Rajasthan,baran,0.6913575243964647,0.6375949082893376,0.5971932682325735,0.54572565981176
Rajasthan,barmer,0.7342589343570476,0.3360978065639797,0.6458379962154353,0.5063675272796586
Rajasthan,beawar,0.9,0.75,0.3927893738140418,0.25
Rajasthan,bharatpur,0.7168716200644698,0.4413184428237087,0.6043480634331413,0.49919767982895924
Rajasthan,bhilwara,0.7313812184004809,0.5217477509699793,0.590603046893337,0.5008954496156479
Rajasthan,bikaner,0.7137567964835355,0.5394328634409187,0.6227682130725334,0.4713121564441591
Rajasthan,bundi,0.6834282720929994,0.6580308060741304,0.6022401189703203,0.5149647772413345
Rajasthan,chittorgarh,0.689196176460522,0.616953448771878,0.5824589330118304,0.5007038938906321
Rajasthan,churu,0.7310152055953462,0.5243938115713275,0.6115992671116346,0.4713218121780776
Rajasthan,dausa,0.7425284401096107,0.5925134708539705,0.6205674237718422,0.5038374397488845
Rajasthan,deeg,0.5301718654032606,0.7483467588308932,0.4892748408524772,0.6848996058311023
Rajasthan,dholpur,0.6703421717090603,0.594978024819028,0.5692069136619252,0.5124006281325204
Rajasthan,didwana-kuchaman,0.6919527334571494,0.7498775376911773,0.4065276828434723,0.75
Rajasthan,dungarpur,0.6729832949514608,0.6099381079378903,0.6007039792301163,0.5415649013851321
Rajasthan,hanumangarh,0.758575208952317,0.6461694567338718,0.5912018019879073,0.47643492570668955
Rajasthan,jaipur,0.8122349080157196,0.25,0.5784994507893253,0.44758136260510717
Rajasthan,jaisalmer,0.7153766189259908,0.6755020954661732,0.6237542243364832,0.5113028832904825
Rajasthan,jalore,0.6397806240365727,0.48865012518369344,0.6366347936244372,0.5084863673543949
Rajasthan,jhalawar,0.6594570330992462,0.6029402617194486,0.5898291954107795,0.5700332525361411
Rajasthan,jhunjhunu,0.748487715492937,0.5521417297120774,0.5984658119011217,0.488834900008619
Rajasthan,jodhpur,0.7435738859414329,0.4006558536983617,0.6270551064968116,0.4585778031408781
Rajasthan,karauli,0.6942745719900679,0.5866199722418767,0.6039895937691885,0.5057085688609299
Rajasthan,khairthal-tijara,0.6629277570214316,0.75,0.75,0.25
Rajasthan,kota,0.7133635363420319,0.5892594723623952,0.5503488451629084,0.49647228835521323
Rajasthan,kotputli-behror,0.8516742098007495,0.7498775376911773,0.25,0.25
Rajasthan,nagaur,0.7458254684533292,0.43265423447450063,0.6366554024323706,0.47457702737048924
Rajasthan,pali,0.7430621052710947,0.5417790857702685,0.6492926864558639,0.4980727283256773
Rajasthan,pratapgarh,0.7151760621694006,0.6512953790888805,0.5669924493684284,0.5116250278730399
Rajasthan,rajsamand,0.7098685787532519,0.6339465520056604,0.5891914334580968,0.5047097976035286
Rajasthan,salumbar,0.8984480069110947,0.75,0.40558510638297873,0.25
Rajasthan,sawai madhopur,0.7110499431052609,0.6040774117299453,0.6079330814894766,0.48796861983089534
Rajasthan,sikar,0.7471527793822323,0.5624829913459968,0.6032081465932944,0.47306904944881584
Rajasthan,sirohi,0.682608932602004,0.5836689707723289,0.6313102763074498,0.48064725589800783
Rajasthan,sri ganganagar,0.6873083256548237,0.6080865944592608,0.5871937524645533,0.5002683178016162
Rajasthan,tonk,0.7415891114897429,0.6249484880764475,0.5913842858957838,0.49980131062152666
Rajasthan,udaipur,0.7232068695734947,0.4777969030642791,0.6123598747575382,0.48973193308982405
