state,district,total_months,active_months,total_E,total_DU,total_BU,total_U,total_T,avg_monthly_enrolment,monthly_volatility,peak_load_ratio,sum_age_0_5,sum_age_5_17,zero_months,activity_ratio,zero_month_ratio,biometric_burden,update_dominant,enrollment_update_balance,access,responsiveness,inclusion,stability,visibility,DEI,ASS,UBS,SRS
Karnataka,dakshina kannada,11,11,7919.0,54077.0,124366,178443.0,186362.0,719.9090909090909,0.40661365627204754,1.6793766969661197,7001.0,833.0,0,1.0,0.0,0.6969508470491977,1,0.04249256822742834,0.5475847526840206,0.7231317613726295,0.9393406176144972,0.45631182214921356,1.0,0.7332737907640722,0.7024152473159794,0.5394147668334495,0.5323147536453765
Karnataka,davanagere,11,11,6786.0,39995.0,148385,188380.0,195166.0,616.9090909090909,0.30802663102115885,1.3232171587264174,6055.0,682.0,0,1.0,0.0,0.7876897759847118,1,0.034770400582068595,0.5391725940335298,0.9404034744451281,0.9680498730267864,1.0,1.0,0.889525188301089,0.7108274059664701,0.75,0.25
Karnataka,dharwad,11,11,6644.0,44231.0,120165,164396.0,171040.0,604.0,0.3789873018351782,1.604145229186155,6076.0,546.0,0,1.0,0.0,0.7309484415679214,1,0.03884471468662301,0.5381182899484728,0.8257681484918103,1.0,0.5906327429861766,1.0,0.790903836285292,0.7118817100515272,0.6183157573213939,0.45320365939015844
Karnataka,gadag,11,11,5621.0,27223.0,63555,90778.0,96399.0,511.0,0.42919257789000953,1.6117905787404434,5040.0,555.0,0,1.0,0.0,0.7001145652030227,1,0.05830973350345958,0.5305228457300685,0.2780983519336051,0.989259327162535,0.44125376850098397,1.0,0.6478268586654384,0.7194771542699315,0.5467570655900279,0.5969719707379041
Karnataka,hassan,11,11,4596.0,46082.0,90078,136160.0,140756.0,417.8181818181818,0.3974589837307888,1.6891997499218505,4197.0,376.0,0,1.0,0.0,0.6615599294947121,1,0.03265224928244622,0.5229125521583535,1.0,0.9861632738594859,0.47531842456272283,1.0,0.7968788501161124,0.7270874478416465,0.45728017793516024,0.5060993453133733
Karnataka,haveri,11,11,5589.0,49292.0,91007,140299.0,145888.0,508.09090909090907,0.399426367240485,1.457789537179206,5085.0,436.0,0,1.0,0.0,0.6486646376666976,1,0.038310210572493966,0.5302852560770979,0.8408070119113189,0.9276288576207862,0.6395087249305145,1.0,0.7876459701079435,0.7197147439229021,0.4273530224329939,0.5117331636525757
Karnataka,kalaburagi,11,11,12191.0,67048.0,199171,266219.0,278410.0,1108.2727272727273,0.3662297779630202,1.7082576056894507,9794.0,2293.0,0,1.0,0.0,0.7481472021155515,1,0.043787938651628895,0.5793029713555975,0.686685084214742,0.9573428572787585,0.5507607635618754,1.0,0.7548183352821947,0.6706970286444025,0.658230323677718,0.4166710913374386
Karnataka,kodagu,11,11,1510.0,11990.0,29943,41933.0,43443.0,137.27272727272728,0.3623738789741334,1.5339180075040857,1337.0,124.0,0,1.0,0.0,0.7140676793933179,1,0.034758188891190755,0.5,0.9407470638514179,0.7618622887626046,0.6897444802998459,1.0,0.7784707665827737,0.75,0.5791391957257166,0.40562930190968416
Karnataka,kolar,11,11,5101.0,37932.0,98395,136327.0,141428.0,463.72727272727275,0.40618099085205517,1.6523177871425743,4545.0,521.0,0,1.0,0.0,0.72175724544661,1,0.03606782249625251,0.526662013869296,0.9038990763514231,0.9709866349121093,0.4774084246094548,1.0,0.7757912299484566,0.723337986130704,0.5969849988366713,0.5310757687876311
Karnataka,koppal,11,11,7043.0,43288.0,91259,134547.0,141590.0,640.2727272727273,0.3965582814662543,1.6703157002613178,5871.0,1121.0,0,1.0,0.0,0.6782685604286978,1,0.049742213433152056,0.5410807359339501,0.5191549888712002,0.9678824698889714,0.49175604879026785,1.0,0.7039748486968779,0.70891926406605,0.49605726052148646,0.5035200856463657
Karnataka,mandya,11,11,4614.0,35803.0,95599,131402.0,136016.0,419.45454545454544,0.43433223644267444,1.6012013292553817,4305.0,261.0,0,1.0,0.0,0.727530783397513,1,0.033922479708269615,0.5230461963381494,0.9642606644545844,0.942042083814873,0.4343068844452047,1.0,0.7727311658105623,0.7269538036618506,0.6103841192566499,0.6116899463987415
Karnataka,mysuru,11,11,9312.0,61361.0,162718,224079.0,233391.0,846.5454545454545,0.3710174663278493,1.7031804996765085,8021.0,1018.0,0,1.0,0.0,0.7261635405370427,1,0.03989871074720105,0.5579273272648976,0.796112805566035,0.7874692067220734,0.5407766092888036,1.0,0.7364571897683619,0.6920726727351023,0.6072110472362379,0.43038116178340113
Karnataka,raichur,11,11,12663.0,49665.0,154993,204658.0,217321.0,1151.1818181818182,0.3809249978401207,1.6246842228776788,9369.0,3161.0,0,1.0,0.0,0.7573268574890794,1,0.05826864407949531,0.582807418736914,0.2792544482454031,0.9412254970443416,0.5700110661288806,1.0,0.6746596860311078,0.667192581263086,0.6795342986077808,0.4587524643052356
Karnataka,ramanagara,11,11,3845.0,31633.0,61465,93098.0,96943.0,349.54545454545456,0.4121530924130395,1.777260864631794,3312.0,504.0,0,1.0,0.0,0.6602182646243743,1,0.03966248207709685,0.5173366199901994,0.8027593600294336,0.9654223142419518,0.3686151636198856,1.0,0.7308266915762941,0.7326633800098006,0.45416646684262296,0.5481775362529118
Karnataka,shivamogga,11,11,5873.0,36590.0,98933,135523.0,141396.0,533.9090909090909,0.407896587317883,1.587965713315794,5248.0,576.0,0,1.0,0.0,0.7300089283737816,1,0.041535828453421596,0.532393864247212,0.7500506912909585,0.9588761537236323,0.5197214338474955,1.0,0.7522084286218597,0.717606135752788,0.6161353524238269,0.5359885673265108
Karnataka,tumakuru,11,11,7982.0,53622.0,164444,218066.0,226048.0,725.6363636363636,0.41676328527816087,1.7752468502265006,7251.0,676.0,0,1.0,0.0,0.7541019691286125,1,0.03531108437146093,0.5480525073133065,0.9251907390388475,0.9707487845869648,0.3568913879638078,1.0,0.7601766837805852,0.7019474926866935,0.6720500371635265,0.5613793288788911
Karnataka,udupi,11,11,4391.0,27353.0,61150,88503.0,92894.0,399.1818181818182,0.44504038357810505,1.6907227592740115,4003.0,337.0,0,1.0,0.0,0.6909370303831509,1,0.047268930178483,0.5213904934440106,0.5887435440974511,0.9321407854279689,0.3379461853686184,1.0,0.6760442016676097,0.7286095065559894,0.5254580120017898,0.6423538995187824
Karnataka,uttara kannada,11,11,4392.0,31864.0,71429,103293.0,107685.0,399.27272727272725,0.40452440384961,1.7717880856200958,3972.0,382.0,0,1.0,0.0,0.6915183023050933,1,0.040785624738821566,0.5213979181206658,0.7711585011327279,0.9563522637645486,0.39447703674488793,1.0,0.728677143952566,0.7286020818793342,0.5268070171603407,0.5263319503156033
Karnataka,vijayanagara,11,11,2675.0,13889.0,31337,45226.0,47901.0,243.1818181818182,0.4275841419890936,1.5622429594371723,2235.0,373.0,0,1.0,0.0,0.6928978905939062,1,0.055844345629527566,0.5086497483034614,0.34746476190519593,0.8223678814096256,0.4822210209525182,1.0,0.6321406825141602,0.7413502516965387,0.5300087402232168,0.592366038223297
Karnataka,vijayapura,11,11,12990.0,61861.0,164690,226551.0,239541.0,1180.909090909091,0.43365693933205224,1.6853983242952146,9946.0,2907.0,0,1.0,0.0,0.7269444849062684,1,0.05422871241248888,0.5852352880032075,0.39292238635521315,0.9408697180019397,0.3744513483145815,1.0,0.6586957481349884,0.6647647119967925,0.6090234485287457,0.6097561590982568
Karnataka,yadgir,11,11,9205.0,31695.0,94083,125778.0,134983.0,836.8181818181819,0.37987650246159393,1.6717216242045294,6596.0,2500.0,0,1.0,0.0,0.7480083957448839,1,0.06819377254913582,0.5571328868627772,0.0,0.9302878926155209,0.5384943916089764,1.0,0.6051830342174549,0.6928671131372228,0.6579081844120802,0.45574998285563506
