state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
Uttarakhand,almora,1,72,9,0,22.0,202.0,584,460,81,224.0,1044,1268.0,1349.0,1.0,0.0,281.1666666666667,0.5669778809221216,1.9053292339226235,0.7121752419765665,1,0.03601930139209155,0.7970805298009755,0.6846632208043935,0.4800934297247314,0.46907992057349734
Uttarakhand,bageshwar,1,39,2,0,8.0,129.0,172,237,41,137.0,409,546.0,587.0,1.0,0.0,146.33333333333334,0.5708865989076114,1.8688270274928898,0.7589573629523468,1,0.03783504266138068,0.7575116054887779,0.75,0.6053654118230876,0.47452595208854975
Uttarakhand,chamoli,1,51,2,0,12.0,159.0,441,395,53,171.0,836,1007.0,1060.0,1.0,0.0,225.83333333333334,0.5504993193009161,1.9604954214604366,0.7511691169728276,1,0.0397687250528293,0.820658322602809,0.7114763366176708,0.5845102434259765,0.4461202785003242
Uttarakhand,champawat,1,37,3,1,19.0,131.0,360,261,41,150.0,621,771.0,812.0,1.0,0.0,175.16666666666666,0.5508546896595161,1.723925435217994,0.7381543752388231,1,0.03238329995378216,0.6367326781133809,0.7360281053141657,0.5496596966890936,0.4466154173616173
Uttarakhand,dehradun,1,252,49,0,107.0,844.0,2510,1688,301,951.0,4198,5149.0,5450.0,1.0,0.0,1054.2,0.4097401522313337,1.6229429450799695,0.6262481377286019,1,0.037510007294205554,0.9569063448779851,0.3100710709093846,0.25,0.25
Uttarakhand,haridwar,1,341,64,1,98.0,1390.0,5222,1970,406,1488.0,7192,8680.0,9086.0,1.0,0.0,908.0,0.7685994403832973,2.67270484520698,0.6822488579392147,1,0.03132952065488359,0.7536197865485648,0.38091584558229696,0.3999573143199484,0.75
Uttarakhand,nainital,1,150,24,1,39.0,350.0,1266,1136,175,389.0,2402,2791.0,2966.0,1.0,0.0,565.5,0.680003757209487,2.2909971540188434,0.7060524038373014,1,0.03998515140266214,0.7126174073908884,0.5468825714747214,0.4636978483835126,0.6265593004014803
Uttarakhand,pauri garhwal,1,81,9,0,32.0,169.0,488,426,90,201.0,914,1115.0,1205.0,1.0,0.0,379.3333333333333,0.5435557217824,1.672720446759585,0.7410098781852686,1,0.03560310979711233,0.7921189260529435,0.6370941689549345,0.5573060903653042,0.43644573788264374
Uttarakhand,pithoragarh,1,71,7,1,30.0,230.0,573,329,79,260.0,902,1162.0,1241.0,1.0,0.0,254.66666666666666,0.5720649086224657,1.974761857998625,0.6857463524130191,1,0.03751350289698517,0.672032169129809,0.6975044419318366,0.4093228166950618,0.47616769545949933
Uttarakhand,rudraprayag,1,58,8,0,5.0,118.0,181,281,66,123.0,462,585.0,651.0,1.0,0.0,191.0,0.6324548403865203,2.1025695476746655,0.812970340858787,1,0.040560628583563386,0.6294736087116541,0.7283556775965111,0.75,0.5603092152109426
Uttarakhand,tehri garhwal,1,139,32,1,21.0,202.0,530,685,172,223.0,1215,1438.0,1610.0,1.0,0.0,540.0,0.5703148622954087,1.720900125652058,0.7359197342122331,1,0.04112249171838708,0.6532342083584393,0.5592392182199968,0.5436758313824274,0.47372934930985766
Uttarakhand,udham singh nagar,1,295,68,1,94.0,634.0,2364,1347,364,728.0,3711,4439.0,4803.0,1.0,0.0,1178.1666666666667,0.6281652097266428,2.0022626075101164,0.6951324509941333,1,0.03417600959190876,0.7888072200902723,0.25,0.4344566744360455,0.55433245662965
Uttarakhand,uttarkashi,1,73,23,0,17.0,161.0,352,227,96,178.0,579,757.0,853.0,1.0,0.0,231.5,0.6430362790925485,1.9839989151806903,0.7492262264755061,1,0.04708793816529934,0.6088493601102737,0.7087304151187208,0.5793076203186245,0.5750523736791543
