state,district,DEI,ASS,UBS,SRS
Kerala,alappuzha,0.6882760800300095,0.6704874377677434,0.6063530948379352,0.43979551166293596
Kerala,ernakulam,0.65389152170901,0.57438925552854,0.5218836464377998,0.3522370522771071
Kerala,idukki,0.7926355347333445,0.7417506078499478,0.7300982328404058,0.39617056363971415
Kerala,kannur,0.6533340782354646,0.5803519740650689,0.4841884778944244,0.46055322513245456
Kerala,kasaragod,0.6877420950815648,0.658069931689244,0.5994241455039084,0.3178786773945521
Kerala,kollam,0.7118291340762711,0.6151441472733589,0.5961102312950267,0.3736712199042948
Kerala,kottayam,0.7425961134988439,0.6829917795530855,0.6494143253031448,0.5189546131705896
Kerala,kozhikode,0.6475228437305117,0.552332985990506,0.3804873781491792,0.6618703106887952
Kerala,malappuram,0.5767299181349002,0.25,0.25,0.75
Kerala,palakkad,0.757356045530919,0.5508278337385667,0.75,0.29965227447059106
Kerala,pathanamthitta,0.7609023036669573,0.7326039133958551,0.7292935293244698,0.4152728390280308
Kerala,thiruvananthapuram,0.6571099703225454,0.5617980780363552,0.53426474839409,0.25
Kerala,thrissur,0.6288978596096418,0.5509725599166377,0.6380781165615156,0.3292395077380313
Kerala,wayanad,0.7913923513016428,0.75,0.5734045981095868,0.406531880447469
