state,district,total_months,active_months,total_E,total_DU,total_BU,total_U,total_T,avg_monthly_enrolment,monthly_volatility,peak_load_ratio,sum_age_0_5,sum_age_5_17,zero_months,activity_ratio,zero_month_ratio,biometric_burden,update_dominant,enrollment_update_balance,access,responsiveness,inclusion,stability,visibility,DEI,ASS,UBS,SRS
Karnataka,bagalkot,11,11,9484.0,57192.0,108959.0,166151.0,175635.0,862.1818181818181,0.38307010915628115,1.5716343553391978,7893.0,1495.0,0,1.0,0.0,0.6557829925790396,1,0.05399834884846415,0.6270322402865803,0.9691506662924367,0.9235830305995041,0.6550376353588455,1.0,0.8349607145074733,0.6229677597134197,0.8914726683211263,0.4319035836389349
Karnataka,ballari,11,11,9336.0,50828.0,155496.0,206324.0,215660.0,848.7272727272727,0.3859701647407783,1.6367383844941112,7672.0,1581.0,0,1.0,0.0,0.7536495996587891,1,0.043290364462579986,0.624993111049876,0.9801206790715861,0.9328837981146824,0.6350895896459992,1.0,0.8346174355764286,0.625006888950124,0.9498945887530245,0.4332806957940284
Karnataka,belagavi,11,11,19182.0,112996.0,293983.0,406979.0,426161.0,1743.8181818181818,0.43034393276635263,1.8054608469569013,16445.0,2589.0,0,1.0,0.0,0.7223542246651548,1,0.045011157754932994,0.7606503168917057,0.978357777322096,0.9417524113353037,0.5658902818708658,1.0,0.8493301574839943,0.4893496831082943,0.931212670963899,0.45435189720202374
Karnataka,bengaluru,11,11,36554.0,289290.0,426797.0,716087.0,752641.0,3323.090909090909,0.35387462944221826,1.5072219026069535,23294.0,8418.0,0,1.0,0.0,0.5960127749840453,1,0.04856764380361952,1.0,0.9747142627261661,0.0,0.6872749791894515,1.0,0.7323978483831235,0.25,0.8557925625043736,0.4180399010933483
Karnataka,bengaluru rural,11,11,6226.0,40487.0,54163.0,94650.0,100876.0,566.0,0.429293359555176,1.8164677425750426,4314.0,1132.0,0,1.0,0.0,0.5722451135763339,1,0.06171933859391728,0.5821438412785891,0.9612407410326506,0.05420805981710806,0.5632494355435227,1.0,0.6321684155343741,0.6678561587214109,0.8416043479024093,0.4538530249918975
Karnataka,bengaluru south,9,9,216.0,4708.0,4119.0,8827.0,9043.0,24.0,1.0529482198565339,2.7528475063585094,22.0,189.0,0,1.0,0.0,0.466636456327178,1,0.023885878580117217,0.5,1.0,0.8252463016506801,0.0,1.0,0.6650492603301361,0.75,0.7785607750757546,0.75
Karnataka,bengaluru urban,11,11,32083.0,52670.0,271622.0,324292.0,356375.0,2916.6363636363635,0.3172879574421949,1.390004910557699,19179.0,9098.0,0,1.0,0.0,0.8375846459363784,1,0.09002595580498071,0.9383990079911821,0.9322414502838517,0.10442093072229772,0.7380845859244168,1.0,0.7426291949843496,0.31160099200881786,1.0,0.4006664579790191
Karnataka,bidar,11,11,6566.0,37845.0,115326.0,153171.0,159737.0,596.9090909090909,0.40074483106372105,1.8119972204310837,5143.0,1349.0,0,1.0,0.0,0.7529232034784652,1,0.04110506645298209,0.5868283273629099,0.9823594521429346,0.9149173586836574,0.5780811257458278,1.0,0.812437252787066,0.6631716726370901,0.9494609632180722,0.44029655186573335
Karnataka,chamarajanagar,11,11,3535.0,18473.0,52436.0,70909.0,74444.0,321.3636363636364,0.482631436434068,2.0045403256138843,3131.0,376.0,0,1.0,0.0,0.7394829993371786,1,0.047485358121541026,0.5450675117112153,0.975823032344727,0.9402030909410644,0.4842737368950688,1.0,0.7890734743784151,0.7049324882887849,0.9414377716478273,0.4791809926322053
Karnataka,chikkaballapur,11,11,4034.0,32988.0,60056.0,93044.0,97078.0,366.72727272727275,0.4715674112700135,1.8570530913286223,3522.0,495.0,0,1.0,0.0,0.645458062851984,1,0.04155421413708564,0.5519426839349684,0.981899313646577,0.9681856430174169,0.5315983229641186,1.0,0.8067251927126161,0.6980573160650316,0.8853091541156379,0.4739271610783793
Karnataka,chikkamagaluru,11,11,3161.0,22490.0,65917.0,88407.0,91568.0,287.3636363636364,0.4317090310016992,1.6792875240258607,2786.0,336.0,0,1.0,0.0,0.7456083794269684,1,0.034520793290232395,0.5399145770184623,0.989104844938986,0.9068569974758199,0.6012330134773929,1.0,0.8074218865821322,0.7100854229815377,0.9450943454159281,0.45500012387148553
Karnataka,chitradurga,11,11,5869.0,44947.0,93086.0,138033.0,143902.0,533.5454545454545,0.44779898710631705,1.860801100749121,5162.0,649.0,0,1.0,0.0,0.6743749683046808,1,0.04078470069908688,0.5772251308900523,0.9826876573669602,0.9253939569630169,0.5418158091114227,1.0,0.8054245108662904,0.6727748691099477,0.9025712335920167,0.46264055471185966
Karnataka,dakshina kannada,11,11,7919.0,54077.0,124366.0,178443.0,186362.0,719.9090909090909,0.40661365627204754,1.6793766969661197,7001.0,833.0,0,1.0,0.0,0.6969508470491977,1,0.04249256822742834,0.6054698263984568,0.9809379976797741,0.9189675994016031,0.6131242952256071,1.0,0.8236999437410883,0.6445301736015432,0.9160480080613471,0.44308340552940456
Karnataka,davanagere,11,11,640.0,3496.0,14546.0,18042.0,18682.0,58.18181818181818,0.4824620716494087,1.697516325875174,562.0,78.0,0,1.0,0.0,0.8062299079924621,1,0.03425757413553153,0.5051804904932489,0.9893745051651057,1.0,0.5719328004820718,1.0,0.8132975592280853,0.7448195095067511,0.9812826452251502,0.4791005685517684
